Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Years_Established
FDY28,7.47,Regular Fat,-1.8837145407082003,Frozen Foods,211.8218,OUT013,High,Tier 3,Supermarket Type1,1496.0526,34
FDP20,19.85,Low Fat,-3.08633038063109,Fruits and Vegetables,126.402,OUT046,Small,Tier 1,Supermarket Type1,1012.0160000000001,24
FDC29,8.39,Regular Fat,-3.7155282808441337,Frozen Foods,113.6176,OUT017,Medium,Tier 2,Supermarket Type1,2862.94,14
FDR45,10.8,Low Fat,-3.5408633926388777,Snack Foods,239.2222,OUT049,Medium,Tier 1,Supermarket Type1,6692.6216,22
NCC42,15.0,Low Fat,-3.1031303302561217,Health and Hygiene,140.2838,OUT046,Small,Tier 1,Supermarket Type1,1404.838,24
NCF42,17.35,Low Fat,-1.7818298435397324,Household,176.7712,OUT017,Medium,Tier 2,Supermarket Type1,2812.3392,14
FDZ45,14.1,Low Fat,-2.1898218800364,Snack Foods,198.8084,OUT010,Medium,Tier 3,Grocery Store,992.0419999999999,23
FDB23,19.2,Regular Fat,-5.181385715438866,Starchy Foods,226.6062,OUT017,Medium,Tier 2,Supermarket Type1,5191.2426,14
FDC41,15.6,Low Fat,-2.1447695882772906,Frozen Foods,78.067,OUT049,Medium,Tier 1,Supermarket Type1,1148.505,22
FDA10,12.987879554655873,Low Fat,-1.3931114165313514,Snack Foods,124.1072,OUT019,Small,Tier 1,Grocery Store,245.0144,36
NCM26,20.5,Low Fat,-3.7604138239019904,Others,154.134,OUT017,Medium,Tier 2,Supermarket Type1,2909.546,14
FDZ58,12.987879554655873,Low Fat,-2.393002832326705,Snack Foods,122.3072,OUT019,Small,Tier 1,Grocery Store,122.5072,36
FDW35,10.6,Low Fat,-4.501970483205802,Breads,41.4454,OUT035,Small,Tier 2,Supermarket Type1,1468.089,17
FDX32,15.1,Regular Fat,-2.3041927345575277,Fruits and Vegetables,143.3786,OUT035,Small,Tier 2,Supermarket Type1,1733.7432,17
FDK40,7.035,Low Fat,-3.81951657062787,Frozen Foods,264.691,OUT018,Medium,Tier 3,Supermarket Type2,5785.802,12
FDD04,16.0,Low Fat,-2.4026241704306215,Dairy,142.4154,OUT017,Medium,Tier 2,Supermarket Type1,1985.4156,14
FDP28,13.65,Regular Fat,-2.5177545470972813,Frozen Foods,262.6936,OUT046,Small,Tier 1,Supermarket Type1,4175.8976,24
NCL42,18.85,Low Fat,-3.2104611031525265,Household,246.7144,OUT013,High,Tier 3,Supermarket Type1,6615.3888,34
DRB13,6.115,Regular Fat,-4.955719927339912,Soft Drinks,190.35299999999998,OUT035,Small,Tier 2,Supermarket Type1,569.259,17
FDC33,8.96,Regular Fat,-2.670477503835273,Fruits and Vegetables,196.5768,OUT018,Medium,Tier 3,Supermarket Type2,2759.0752,12
FDO58,19.6,Low Fat,-3.229691883105202,Snack Foods,165.9526,OUT035,Small,Tier 2,Supermarket Type1,2631.2416,17
FDE34,9.195,Low Fat,-1.7115366313174056,Snack Foods,182.2634,OUT010,Medium,Tier 3,Grocery Store,363.5268,23
NCE19,8.97,Low Fat,-2.374998593883107,Household,52.7956,OUT046,Small,Tier 1,Supermarket Type1,1037.3164,24
NCJ18,12.35,Low Fat,-1.2931494583823675,Household,117.1124,OUT010,Medium,Tier 3,Grocery Store,355.5372,23
FDF52,9.3,Low Fat,-2.7047488116902563,Frozen Foods,183.9292,OUT049,Medium,Tier 1,Supermarket Type1,3283.7256,22
FDY04,17.7,Regular Fat,-3.158994702908709,Frozen Foods,162.421,OUT035,Small,Tier 2,Supermarket Type1,1468.089,17
DRF49,7.27,Low Fat,-2.6424247490131636,Soft Drinks,111.9518,OUT049,Medium,Tier 1,Supermarket Type1,1138.518,22
FDX27,20.7,Regular Fat,-1.6554367524760183,Dairy,92.8436,OUT010,Medium,Tier 3,Grocery Store,189.0872,23
FDV28,16.1,Regular Fat,-1.8351129590303674,Frozen Foods,32.8558,OUT013,High,Tier 3,Supermarket Type1,339.55800000000005,34
FDE33,13.224769381746812,Regular Fat,-2.4429335433313786,Fruits and Vegetables,78.8644,OUT019,Small,Tier 1,Grocery Store,314.2576,36
FDQ37,20.75,Low Fat,-2.4170268631502094,Breakfast,193.3478,OUT013,High,Tier 3,Supermarket Type1,6006.1818,34
NCG30,20.2,Low Fat,-2.186392494746338,Household,123.6046,OUT046,Small,Tier 1,Supermarket Type1,2988.1104,24
NCH29,5.51,Low Fat,-3.361915074251993,Health and Hygiene,98.5726,OUT017,Medium,Tier 2,Supermarket Type1,1761.7068,14
FDV20,20.2,Regular Fat,-2.765031835568553,Fruits and Vegetables,129.0678,OUT017,Medium,Tier 2,Supermarket Type1,3560.6984,14
FDG57,14.7,Low Fat,-2.6228885300142615,Fruits and Vegetables,48.5034,OUT018,Medium,Tier 3,Supermarket Type2,874.8612,12
FDU60,20.0,Regular Fat,-2.8152504413493444,Baking Goods,168.5132,OUT035,Small,Tier 2,Supermarket Type1,2874.9244,17
NCH30,17.1,Low Fat,-2.185672498283711,Household,112.986,OUT010,Medium,Tier 3,Grocery Store,113.186,23
NCM29,11.5,Low Fat,-3.5223663957791236,Health and Hygiene,132.6626,OUT010,Medium,Tier 3,Grocery Store,262.3252,23
FDB12,11.15,Regular Fat,-2.246803823649095,Baking Goods,104.4648,OUT018,Medium,Tier 3,Supermarket Type2,2181.1608,12
FDD53,16.2,Low Fat,-3.116968115792285,Frozen Foods,43.3454,OUT049,Medium,Tier 1,Supermarket Type1,503.3448,22
FDI44,16.1,Low Fat,-2.298705568091828,Fruits and Vegetables,76.0328,OUT049,Medium,Tier 1,Supermarket Type1,1853.5872,22
FDW56,13.224769381746812,Low Fat,-2.651335164706182,Fruits and Vegetables,191.2162,OUT027,Medium,Tier 3,Supermarket Type3,7504.2318,36
FDA01,15.0,Regular Fat,-2.9077256636396505,Canned,59.4904,OUT018,Medium,Tier 3,Supermarket Type2,644.4944,12
FDG47,12.8,Low Fat,-2.6655525792299124,Starchy Foods,263.0252,OUT013,High,Tier 3,Supermarket Type1,2885.5772,34
FDT40,5.985,Low Fat,-2.376393163968776,Frozen Foods,125.2678,OUT035,Small,Tier 2,Supermarket Type1,1017.3424,17
FDU20,19.35,Regular Fat,-3.8418678030428834,Fruits and Vegetables,120.3098,OUT035,Small,Tier 2,Supermarket Type1,2530.7058,17
NCP41,16.6,Low Fat,-4.118018122722473,Health and Hygiene,109.8596,OUT018,Medium,Tier 3,Supermarket Type2,1617.894,12
FDW36,12.277108208955223,Low Fat,-2.8707407570916748,Baking Goods,106.2622,OUT027,Medium,Tier 3,Supermarket Type3,2328.9684,36
FDN31,11.5,Low Fat,-2.617366429366365,Fruits and Vegetables,189.253,OUT049,Medium,Tier 1,Supermarket Type1,1328.271,22
NCU54,8.88,Low Fat,-1.8013635894990236,Household,207.727,OUT010,Medium,Tier 3,Grocery Store,209.727,23
FDS01,11.6,Low Fat,-4.031651549237582,Canned,177.9686,OUT046,Small,Tier 1,Supermarket Type1,1244.3802,24
FDA23,9.8,Low Fat,-3.0479955750885006,Baking Goods,101.7016,OUT017,Medium,Tier 2,Supermarket Type1,1518.024,14
FDY08,9.395,Regular Fat,-1.7636259579594475,Fruits and Vegetables,139.1838,OUT045,Medium,Tier 2,Supermarket Type1,1685.8056,19
FDJ28,12.3,Low Fat,-3.8230517377795414,Frozen Foods,193.3162,OUT046,Small,Tier 1,Supermarket Type1,3078.6592,24
DRF36,16.1,Low Fat,-3.7474709790731273,Soft Drinks,192.6846,OUT046,Small,Tier 1,Supermarket Type1,2866.2690000000002,24
FDH44,19.1,Regular Fat,-3.139494543581185,Fruits and Vegetables,147.5418,OUT010,Medium,Tier 3,Grocery Store,294.2836,23
NCY54,8.43,Low Fat,-1.7261340171390087,Household,174.0422,OUT049,Medium,Tier 1,Supermarket Type1,2069.3064,22
FDR59,14.5,Regular Fat,-2.235912987068108,Breads,260.4594,OUT010,Medium,Tier 3,Grocery Store,1046.6376,23
DRA59,8.27,Regular Fat,-2.056288212691035,Soft Drinks,184.8924,OUT046,Small,Tier 1,Supermarket Type1,4442.2176,24
FDS55,7.02,Low Fat,-2.5056408248400923,Fruits and Vegetables,148.0734,OUT017,Medium,Tier 2,Supermarket Type1,1930.1542,14
FDZ28,20.0,Regular Fat,-2.9642931625316113,Frozen Foods,128.0678,OUT045,Medium,Tier 2,Supermarket Type1,1780.3492,19
DRG49,7.81,Low Fat,-2.6942641962569196,Soft Drinks,246.0486,OUT045,Medium,Tier 2,Supermarket Type1,7086.1094,19
FDH21,12.5528431372549,Low Fat,-2.906422478285802,Seafood,158.6604,OUT019,Small,Tier 1,Grocery Store,316.9208,36
NCN19,13.1,Low Fat,-4.41541970874966,Others,189.85299999999998,OUT013,High,Tier 3,Supermarket Type1,3415.554,34
FDP25,15.2,Low Fat,-3.851373536861571,Canned,216.5824,OUT045,Medium,Tier 2,Supermarket Type1,5241.1776,19
DRH59,10.8,Low Fat,-2.839866779147755,Hard Drinks,74.738,OUT046,Small,Tier 1,Supermarket Type1,1025.3319999999999,24
FDH09,12.6,Low Fat,-2.881208409900113,Seafood,50.7982,OUT035,Small,Tier 2,Supermarket Type1,473.3838,17
NCK54,12.15,Low Fat,-3.5210194296920987,Household,115.015,OUT049,Medium,Tier 1,Supermarket Type1,2912.875,22
FDT21,7.42,Low Fat,-3.890594250014852,Snack Foods,248.9092,OUT045,Medium,Tier 2,Supermarket Type1,5976.2208,19
FDR12,12.277108208955223,Regular Fat,-2.896551756812016,Baking Goods,172.4764,OUT019,Small,Tier 1,Grocery Store,687.1056,36
FDS25,6.885,Regular Fat,-1.9604112841281365,Canned,111.4228,OUT017,Medium,Tier 2,Supermarket Type1,2984.1156,14
NCL05,13.14231395348837,Low Fat,-3.0435428606657298,Health and Hygiene,42.177,OUT027,Medium,Tier 3,Supermarket Type3,1255.0330000000001,36
NCI30,20.25,Low Fat,-2.825670815574628,Household,246.446,OUT017,Medium,Tier 2,Supermarket Type1,3695.19,14
FDJ26,15.3,Regular Fat,-2.465844319973807,Canned,214.0218,OUT045,Medium,Tier 2,Supermarket Type1,1068.609,19
FDA56,9.21,Low Fat,-4.735459639381099,Fruits and Vegetables,122.4414,OUT049,Medium,Tier 1,Supermarket Type1,1583.9382,22
FDM33,15.6,Low Fat,-2.7196841500577813,Snack Foods,220.4798,OUT018,Medium,Tier 3,Supermarket Type2,661.1394,12
FDP04,15.35,Low Fat,-4.280608094401909,Frozen Foods,62.7168,OUT049,Medium,Tier 1,Supermarket Type1,958.752,22
FDR55,12.15,Regular Fat,-2.0222946892400535,Fruits and Vegetables,190.3872,OUT045,Medium,Tier 2,Supermarket Type1,2836.308,19
NCZ54,13.384736495388669,Low Fat,-2.4894483195746115,Household,164.0552,OUT027,Medium,Tier 3,Supermarket Type3,5523.4768,36
NCA53,11.395,Low Fat,-4.615845262405892,Health and Hygiene,50.3034,OUT049,Medium,Tier 1,Supermarket Type1,972.068,22
FDL20,17.1,Low Fat,-2.083060030521298,Fruits and Vegetables,111.9886,OUT046,Small,Tier 1,Supermarket Type1,3002.0922,24
FDT26,18.85,Regular Fat,-2.689120645999135,Dairy,119.044,OUT035,Small,Tier 2,Supermarket Type1,1198.44,17
NCZ06,19.6,Low Fat,-2.362742165378753,Household,251.9698,OUT046,Small,Tier 1,Supermarket Type1,4566.0564,24
FDA04,11.3,Regular Fat,-2.7014602426546928,Frozen Foods,258.1962,OUT017,Medium,Tier 2,Supermarket Type1,4402.9354,14
FDD29,12.867061281337046,Low Fat,-3.999687632102534,Frozen Foods,255.3698,OUT027,Medium,Tier 3,Supermarket Type3,4819.7262,36
FDS56,5.785,Regular Fat,-3.2504474033855475,Fruits and Vegetables,260.7252,OUT046,Small,Tier 1,Supermarket Type1,6033.4796,24
FDT07,5.82,Regular Fat,-2.560647057640141,Fruits and Vegetables,257.633,OUT013,High,Tier 3,Supermarket Type1,1537.9979999999998,34
FDT58,9.0,Low Fat,-2.449869367298789,Snack Foods,168.0816,OUT018,Medium,Tier 3,Supermarket Type2,2181.1608,12
FDJ10,12.987879554655873,Regular Fat,-2.0489004104309707,Snack Foods,139.1838,OUT027,Medium,Tier 3,Supermarket Type3,4916.933,36
FDN25,7.895,Regular Fat,-2.7941970373694365,Breakfast,59.2588,OUT035,Small,Tier 2,Supermarket Type1,801.6232,17
DRC27,13.8,Low Fat,-2.8435211534572273,Dairy,247.4802,OUT045,Medium,Tier 2,Supermarket Type1,1474.0812,19
FDA38,5.44,Low Fat,-3.668311080860355,Dairy,238.7538,OUT049,Medium,Tier 1,Supermarket Type1,3605.3070000000002,22
FDM56,16.7,Low Fat,-2.657359315876629,Fruits and Vegetables,109.8912,OUT013,High,Tier 3,Supermarket Type1,873.5296,34
NCI43,19.85,Low Fat,-3.6516956216867626,Household,46.9376,OUT013,High,Tier 3,Supermarket Type1,575.2512,34
FDP36,10.395,Regular Fat,-2.389362559161127,Baking Goods,49.0008,OUT017,Medium,Tier 2,Supermarket Type1,860.2136,14
DRK49,11.847459893048129,Low Fat,-3.47972714477087,Soft Drinks,40.5138,OUT019,Small,Tier 1,Grocery Store,40.6138,36
FDW32,13.224769381746812,Regular Fat,-1.8011943278598594,Fruits and Vegetables,87.7882,OUT019,Small,Tier 1,Grocery Store,515.3292,36
NCW18,15.1,Low Fat,-2.8231739726128233,Household,237.9248,OUT049,Medium,Tier 1,Supermarket Type1,2133.2232,22
FDQ44,20.5,Low Fat,-3.3162814811506167,Fruits and Vegetables,121.2756,OUT018,Medium,Tier 3,Supermarket Type2,2181.1608,12
FDL45,15.6,Low Fat,-3.276391887951134,Snack Foods,124.9704,OUT045,Medium,Tier 2,Supermarket Type1,2253.0672,19
DRB48,16.75,Regular Fat,-3.694946300264738,Soft Drinks,39.9822,OUT035,Small,Tier 2,Supermarket Type1,746.3618,17
FDQ34,10.85,Low Fat,-1.8145971245659012,Snack Foods,104.9622,OUT018,Medium,Tier 3,Supermarket Type2,1482.0708,12
FDH17,16.2,Regular Fat,-4.0895040165890535,Frozen Foods,98.6726,OUT017,Medium,Tier 2,Supermarket Type1,1272.3438,14
FDN08,7.72,Regular Fat,-1.9111896466779856,Fruits and Vegetables,116.6466,OUT010,Medium,Tier 3,Grocery Store,117.8466,23
FDK57,12.987879554655873,Low Fat,-2.5269285138639113,Snack Foods,120.044,OUT027,Medium,Tier 3,Supermarket Type3,4434.228,36
FDK10,5.785,Regular Fat,-3.2107768602016367,Snack Foods,180.46599999999998,OUT013,High,Tier 3,Supermarket Type1,719.064,34
FDL39,13.42606890459364,Regular Fat,-2.764229041939315,Dairy,181.6318,OUT027,Medium,Tier 3,Supermarket Type3,1263.0226,36
FDP25,15.2,Low Fat,-3.8535885921329824,Canned,216.3824,OUT035,Small,Tier 2,Supermarket Type1,6114.7072,17
FDC05,13.1,Regular Fat,-2.315002814754114,Frozen Foods,196.3768,OUT035,Small,Tier 2,Supermarket Type1,2167.8448,17
FDA39,6.32,Low Fat,-4.365573768430691,Meat,41.0822,OUT013,High,Tier 3,Supermarket Type1,942.7728,34
FDZ10,17.85,Low Fat,-3.1139193658302573,Snack Foods,124.902,OUT013,High,Tier 3,Supermarket Type1,1897.53,34
FDK08,13.224769381746812,Regular Fat,-2.1060939095367215,Fruits and Vegetables,101.2016,OUT027,Medium,Tier 3,Supermarket Type3,2631.2416,36
DRD24,13.85,Low Fat,-3.4812327043629607,Soft Drinks,141.7154,OUT013,High,Tier 3,Supermarket Type1,2978.1234,34
DRG48,5.78,Low Fat,-4.2257508772814045,Soft Drinks,147.3102,OUT018,Medium,Tier 3,Supermarket Type2,2332.9632,12
FDH52,12.867061281337046,Regular Fat,-2.5656569757643246,Frozen Foods,62.1194,OUT019,Small,Tier 1,Grocery Store,123.8388,36
FDS25,6.885,Regular Fat,-1.9640257858205346,Canned,108.5228,OUT045,Medium,Tier 2,Supermarket Type1,1989.4104,19
NCH43,8.42,Low Fat,-2.651354638528051,Household,216.0192,OUT035,Small,Tier 2,Supermarket Type1,2372.9112,17
DRK01,7.63,Low Fat,-2.7901872967258323,Soft Drinks,94.6436,OUT017,Medium,Tier 2,Supermarket Type1,1607.2412,14
FDD59,10.5,Regular Fat,-2.709724321660355,Starchy Foods,80.896,OUT017,Medium,Tier 2,Supermarket Type1,958.752,14
FDB27,7.575,Low Fat,-2.378260514493362,Dairy,197.7768,OUT010,Medium,Tier 3,Grocery Store,197.0768,23
FDO22,13.5,Regular Fat,-4.026053833179472,Snack Foods,81.396,OUT013,High,Tier 3,Supermarket Type1,1198.44,34
FDD35,12.15,Low Fat,-3.6528606693588603,Starchy Foods,120.244,OUT045,Medium,Tier 2,Supermarket Type1,2277.036,19
FDR01,5.405,Regular Fat,-2.9259983220680015,Canned,197.7742,OUT035,Small,Tier 2,Supermarket Type1,796.2968,17
NCB31,13.384736495388669,Low Fat,-1.5712586885579258,Household,262.291,OUT019,Small,Tier 1,Grocery Store,525.982,36
FDC35,7.435,Low Fat,-2.0968913559725637,Starchy Foods,208.7638,OUT046,Small,Tier 1,Supermarket Type1,3105.9570000000003,24
FDS23,4.635,Low Fat,-1.9577561709358484,Breads,127.0994,OUT045,Medium,Tier 2,Supermarket Type1,2826.9868,19
FDC33,8.96,Regular Fat,-2.6725168210829184,Fruits and Vegetables,197.7768,OUT045,Medium,Tier 2,Supermarket Type1,3153.2288,19
NCF18,18.35,Low Fat,-2.4152491704018133,Household,191.9504,OUT018,Medium,Tier 3,Supermarket Type2,5369.0112,12
FDM36,11.65,Regular Fat,-2.8332369303343703,Baking Goods,173.5422,OUT049,Medium,Tier 1,Supermarket Type1,3448.844,22
FDJ53,10.5,Low Fat,-2.6398958951130473,Frozen Foods,121.3098,OUT049,Medium,Tier 1,Supermarket Type1,1446.1176,22
NCL17,7.39,Low Fat,-2.687427057580379,Health and Hygiene,140.7812,OUT018,Medium,Tier 3,Supermarket Type2,1567.2932,12
FDW27,12.81734421364985,Regular Fat,-1.896301693111269,Meat,154.5314,OUT027,Medium,Tier 3,Supermarket Type3,1396.1826,36
FDA32,14.0,Low Fat,-3.5034230826564987,Fruits and Vegetables,215.7192,OUT046,Small,Tier 1,Supermarket Type1,1078.596,24
FDA03,18.5,Regular Fat,-2.5757459767657784,Dairy,145.8102,OUT010,Medium,Tier 3,Grocery Store,291.6204,23
FDW09,13.65,Regular Fat,-3.650682957599184,Snack Foods,79.6302,OUT045,Medium,Tier 2,Supermarket Type1,554.6114,19
FDN09,14.15,Low Fat,-3.4122107871790117,Snack Foods,244.1828,OUT045,Medium,Tier 2,Supermarket Type1,731.0484,19
FDM08,10.1,Regular Fat,-2.9208604317943854,Fruits and Vegetables,225.6088,OUT017,Medium,Tier 2,Supermarket Type1,4250.4672,14
FDX01,10.1,Low Fat,-3.7188121198337223,Canned,117.615,OUT018,Medium,Tier 3,Supermarket Type2,1514.695,12
DRO35,13.85,Low Fat,-3.363205192065774,Hard Drinks,115.0492,OUT049,Medium,Tier 1,Supermarket Type1,4054.722,22
FDS31,13.1,Regular Fat,-3.1171770953735276,Fruits and Vegetables,178.5318,OUT045,Medium,Tier 2,Supermarket Type1,3067.3406,19
NCM53,18.75,Low Fat,-2.9541715119893217,Health and Hygiene,104.82799999999999,OUT049,Medium,Tier 1,Supermarket Type1,2343.616,22
FDI16,14.0,Regular Fat,-1.9975835325096676,Frozen Foods,52.06399999999999,OUT013,High,Tier 3,Supermarket Type1,852.2239999999999,34
DRF36,16.1,Low Fat,-3.745917428148226,Soft Drinks,192.8846,OUT049,Medium,Tier 1,Supermarket Type1,5350.3688,22
FDW49,12.305705009276437,Low Fat,-2.499178599277471,Canned,179.9002,OUT027,Medium,Tier 3,Supermarket Type3,4119.3046,36
FDB58,12.987879554655873,Regular Fat,-3.745214066195281,Snack Foods,141.7154,OUT019,Small,Tier 1,Grocery Store,425.4462,36
NCJ18,12.35,Low Fat,-1.8062169812189819,Household,119.8124,OUT045,Medium,Tier 2,Supermarket Type1,2133.2232,19
FDL51,20.7,Regular Fat,-3.045181269705559,Dairy,215.0876,OUT045,Medium,Tier 2,Supermarket Type1,5145.3024,19
FDS03,7.825,Low Fat,-2.5263165295789434,Meat,62.7826,OUT018,Medium,Tier 3,Supermarket Type2,1162.4868,12
NCO54,13.384736495388669,Low Fat,-3.68918181982184,Household,53.6614,OUT019,Small,Tier 1,Grocery Store,165.7842,36
FDA48,12.1,Low Fat,-2.1618929051705114,Baking Goods,222.0114,OUT045,Medium,Tier 2,Supermarket Type1,3547.3824,19
NCK06,13.384736495388669,Low Fat,-4.7554517106592815,Household,123.1756,OUT027,Medium,Tier 3,Supermarket Type3,1211.756,36
NCZ54,14.65,Low Fat,-2.482568034481718,Household,162.4552,OUT045,Medium,Tier 2,Supermarket Type1,2274.3728,19
FDW39,12.81734421364985,Regular Fat,-3.304116279956989,Meat,177.237,OUT027,Medium,Tier 3,Supermarket Type3,4763.799,36
FDI09,20.75,Regular Fat,-2.045329285270623,Seafood,238.188,OUT046,Small,Tier 1,Supermarket Type1,5033.448,24
NCO02,11.15,Low Fat,-2.793242421034589,Others,65.0142,OUT049,Medium,Tier 1,Supermarket Type1,1120.5414,22
DRF13,12.1,Low Fat,-3.5123189604217235,Soft Drinks,144.3444,OUT049,Medium,Tier 1,Supermarket Type1,2612.5992,22
FDK25,11.6,Regular Fat,-1.8469407478298165,Breakfast,168.3474,OUT017,Medium,Tier 2,Supermarket Type1,4548.0798,14
FDZ38,17.6,Low Fat,-4.822546027564836,Dairy,173.7422,OUT017,Medium,Tier 2,Supermarket Type1,5863.0348,14
NCQ42,13.384736495388669,Low Fat,-2.67722679104731,Household,127.9678,OUT019,Small,Tier 1,Grocery Store,254.3356,36
FDM14,12.305705009276437,Low Fat,-4.327558373830726,Canned,108.9254,OUT027,Medium,Tier 3,Supermarket Type3,2713.135,36
FDC20,10.65,Low Fat,-3.7308911977717645,Fruits and Vegetables,54.0272,OUT046,Small,Tier 1,Supermarket Type1,447.4176,24
FDW32,18.35,Regular Fat,-2.357242354970774,Fruits and Vegetables,86.2882,OUT018,Medium,Tier 3,Supermarket Type2,1631.8758,12
FDQ19,7.35,Regular Fat,-4.240925693505686,Fruits and Vegetables,241.3512,OUT045,Medium,Tier 2,Supermarket Type1,5331.7264,19
FDE08,18.2,Low Fat,-3.0078784607359776,Fruits and Vegetables,146.4734,OUT049,Medium,Tier 1,Supermarket Type1,3563.3616,22
FDC29,8.39,Regular Fat,-3.7196152359242722,Frozen Foods,116.0176,OUT049,Medium,Tier 1,Supermarket Type1,1603.2464,22
FDV50,14.3,Low Fat,-2.0998956356943843,Dairy,121.973,OUT013,High,Tier 3,Supermarket Type1,2709.8059999999996,34
FDF11,10.195,Regular Fat,-4.03244352243262,Starchy Foods,239.8538,OUT017,Medium,Tier 2,Supermarket Type1,4086.0146,14
FDN09,14.15,Low Fat,-3.3519286463118956,Snack Foods,245.3828,OUT018,Medium,Tier 3,Supermarket Type2,1705.7796,12
DRG37,16.2,Low Fat,-3.9415686097567835,Soft Drinks,153.7972,OUT045,Medium,Tier 2,Supermarket Type1,1402.1748,19
NCV06,13.384736495388669,Low Fat,-2.7126845330490923,Household,195.2478,OUT027,Medium,Tier 3,Supermarket Type3,7168.6686,36
DRJ13,12.65,Low Fat,-2.2512697863487667,Soft Drinks,159.9578,OUT010,Medium,Tier 3,Grocery Store,962.7468,23
DRF25,11.847459893048129,Low Fat,-3.2509664138788095,Soft Drinks,37.319,OUT027,Medium,Tier 3,Supermarket Type3,1281.665,36
FDE53,10.895,Low Fat,-3.1012733388432547,Frozen Foods,107.228,OUT010,Medium,Tier 3,Grocery Store,426.11199999999997,23
FDS08,5.735,Low Fat,-2.8653845935684643,Fruits and Vegetables,176.33700000000002,OUT046,Small,Tier 1,Supermarket Type1,1764.37,24
FDO23,17.85,Low Fat,-1.91558539944966,Breads,93.7436,OUT017,Medium,Tier 2,Supermarket Type1,1701.7848,14
FDT07,5.82,Regular Fat,-2.5598145362494216,Fruits and Vegetables,255.433,OUT046,Small,Tier 1,Supermarket Type1,4357.661,24
NCX29,10.0,Low Fat,-2.4175956766995395,Health and Hygiene,146.9102,OUT035,Small,Tier 2,Supermarket Type1,3207.8244,17
FDG22,17.6,Regular Fat,-3.185118784467104,Snack Foods,38.119,OUT035,Small,Tier 2,Supermarket Type1,732.38,17
DRJ47,11.400327868852457,Low Fat,-3.1227473436002255,Hard Drinks,173.308,OUT027,Medium,Tier 3,Supermarket Type3,6751.2119999999995,36
FDL43,10.1,Low Fat,-3.6103692801705467,Meat,77.567,OUT013,High,Tier 3,Supermarket Type1,306.268,34
FDZ43,13.224769381746812,Regular Fat,-2.8685317310381424,Fruits and Vegetables,241.2512,OUT027,Medium,Tier 3,Supermarket Type3,8239.9408,36
FDZ21,17.6,Regular Fat,-3.2385210345551827,Snack Foods,97.241,OUT046,Small,Tier 1,Supermarket Type1,193.082,24
FDJ50,8.645,Low Fat,-3.8358992591700063,Canned,53.3982,OUT035,Small,Tier 2,Supermarket Type1,1209.7586,17
FDV35,19.5,Low Fat,-2.054116925918719,Breads,155.9314,OUT046,Small,Tier 1,Supermarket Type1,3878.285,24
FDW56,7.68,Low Fat,-2.6408403963343168,Fruits and Vegetables,190.8162,OUT017,Medium,Tier 2,Supermarket Type1,2693.8268,14
DRL35,15.7,Low Fat,-3.481348410202185,Hard Drinks,43.277,OUT045,Medium,Tier 2,Supermarket Type1,649.155,19
FDR01,5.405,Regular Fat,-2.9237832345058368,Canned,199.0742,OUT045,Medium,Tier 2,Supermarket Type1,4777.7808,19
FDS24,20.85,Regular Fat,-2.774980829047292,Baking Goods,86.9514,OUT045,Medium,Tier 2,Supermarket Type1,1416.8224,19
NCL17,7.39,Low Fat,-2.685851886933271,Health and Hygiene,140.4812,OUT017,Medium,Tier 2,Supermarket Type1,2422.1804,14
FDS13,6.465,Low Fat,-2.0235804107889246,Canned,263.1884,OUT018,Medium,Tier 3,Supermarket Type2,2914.8724,12
FDB59,18.25,Low Fat,-4.179256580771193,Snack Foods,197.6084,OUT045,Medium,Tier 2,Supermarket Type1,2380.9008,19
FDW26,13.42606890459364,Regular Fat,-2.239246444540882,Dairy,222.3772,OUT027,Medium,Tier 3,Supermarket Type3,1556.6404,36
FDQ12,12.277108208955223,Low Fat,-2.780626571372517,Baking Goods,230.00099999999998,OUT019,Small,Tier 1,Grocery Store,689.1030000000001,36
FDX59,10.195,Low Fat,-2.9638793862922674,Breads,31.9558,OUT013,High,Tier 3,Supermarket Type1,373.5138,34
FDL36,15.1,Low Fat,-2.5703887371010503,Baking Goods,91.583,OUT017,Medium,Tier 2,Supermarket Type1,539.298,14
FDQ55,13.65,Regular Fat,-4.335816099650446,Fruits and Vegetables,114.8834,OUT018,Medium,Tier 3,Supermarket Type2,1612.5676,12
FDV46,12.987879554655873,Low Fat,-3.8133202233759875,Snack Foods,141.418,OUT019,Small,Tier 1,Grocery Store,559.2719999999999,36
FDM28,12.867061281337046,Low Fat,-2.5364596031471818,Frozen Foods,181.46599999999998,OUT019,Small,Tier 1,Grocery Store,179.766,36
FDT40,5.985,Low Fat,-2.3399009080183473,Frozen Foods,125.2678,OUT017,Medium,Tier 2,Supermarket Type1,763.0068,14
DRJ11,9.5,Low Fat,-1.948938715536505,Hard Drinks,189.9872,OUT010,Medium,Tier 3,Grocery Store,756.3488,23
FDD51,11.15,Low Fat,-2.1638154224679513,Dairy,44.7744,OUT045,Medium,Tier 2,Supermarket Type1,181.0976,19
NCT17,13.14231395348837,Low Fat,-3.178139169989269,Health and Hygiene,188.6214,OUT027,Medium,Tier 3,Supermarket Type3,6029.4848,36
